Size	Source	Binary Packages
83740	jcommander	libjcommander-java(Java framework for parsing command line parameters)+libjcommander-java-doc(Java framework for parsing command line parameters (documentation))
88042	python-pbr	python-pbr(inject useful and sensible default behaviors into setuptools - Python 2.x)+python-pbr-doc(inject useful and sensible default behaviors into setuptools - doc)+python3-pbr(inject useful and sensible default behaviors into setuptools - Python 3.x)
88855	felix-gogo-runtime	libfelix-gogo-runtime-java(Apache Felix Gogo Runtime bundle)+libfelix-gogo-runtime-java-doc(Documentation for Apache Felix Gogo Runtime bundle)
94342	zope.component	python-zope.component(Zope Component Architecture)+python-zope.component-persistentregistry(Metapackage for zope.component persistentregistry extra)+python-zope.component-security(Metapackage for zope.component security extra)+python-zope.component-test(Metapackage for zope.component test extra)+python-zope.component-zcml(Metapackage for zope.component zcml extra)+python3-zope.component(Zope Component Architecture)
95201	libconfig-model-lcdproc-perl	libconfig-model-lcdproc-perl(module to edit and validate LcdProc configuration file)
97162	libcatalyst-devel-perl	libcatalyst-devel-perl(collection of development tools for Catalyst)
104724	cdi-api	libcdi-api-java(Contexts and Dependency Injection for Java EE)+libcdi-api-java-doc(Contexts and Dependency Injection for Java EE - documentation)
110284	libproxy	libproxy-cil-dev(automatic proxy configuration management library (CLI devel))+libproxy-dev(automatic proxy configuration management library (devel))+libproxy-tools(automatic proxy configuration management library (tools))+libproxy0.4-cil(automatic proxy configuration management library (CLI))+libproxy1-plugin-gsettings(automatic proxy configuration management library (GSettings plugin))+libproxy1-plugin-kconfig(automatic proxy configuration management library (KConfig plugin))+libproxy1-plugin-mozjs(automatic proxy configuration management library (mozjs plugin))+libproxy1-plugin-networkmanager(automatic proxy configuration management library (Network Manager plugin))+libproxy1-plugin-webkit(automatic proxy configuration management library (Webkit plugin))+libproxy1v5(automatic proxy configuration management library (shared))+python-libproxy(automatic proxy configuration management library (Python 2))+python3-libproxy(automatic proxy configuration management library (Python 3))
113808	ruby-sprockets-rails	ruby-sprockets-rails(Sprockets Rails integration (part of Rails))
115173	liburi-perl	liburi-perl(module to manipulate and access URI strings)
124227	libmodule-install-perl	libmodule-install-perl(framework for installing Perl modules)
128914	libslf4j-java	libslf4j-java(Simple Logging Facade for Java)
129568	libcommons-cli-java	libcommons-cli-java(Command line arguments and options parsing library)
130356	rake	rake(ruby make-like utility)
142859	ruby-test-unit	ruby-test-unit(unit testing framework for Ruby)
156959	qdox	libqdox-java(Quickly parses declarations and Javadoc from Java source)+libqdox-java-doc(Documentation for qdox (javadoc))
160792	maven-site-plugin	libmaven-site-plugin-java(Maven Site Plugin for generating a site)
160818	po-debconf	po-debconf(tool for managing templates file translations with gettext)
171652	python-testtools	python-testtools(Extensions to the Python unittest library - Python 2.x)+python-testtools-doc(Extensions to the Python unittest library - doc)+python3-testtools(Extensions to the Python unittest library - Python 3.x)
177002	felix-bundlerepository	libfelix-bundlerepository-java(Felix OSGi bundle repository service)+libfelix-bundlerepository-java-doc(Documentation for Felix OSGi bundle repository service)
183645	maven-plugin-tools	libmaven-plugin-tools-java(Maven Plugin Tools)
195412	plexus-utils2	libplexus-utils2-java(utilities for the Plexus framework)+libplexus-utils2-java-doc(utilities for the Plexus framework - documentation)
197296	jansi	libjansi-java(Java library for generating and interpreting ANSI escape sequences)
200806	at-spi2-core	at-spi2-core(Assistive Technology Service Provider Interface (dbus core))+at-spi2-doc(Assistive Technology Service Provider Interface (Documentation))+gir1.2-atspi-2.0(Assistive Technology Service Provider (GObject introspection))+libatspi2.0-0(Assistive Technology Service Provider Interface - shared library)+libatspi2.0-dev(Development files for the assistive technology service provider)
202924	libarchive-zip-perl	libarchive-zip-perl(Perl module for manipulation of ZIP archives)
203968	wagon	libwagon-file-java(Artifact transport abstraction used in Maven (file provider))+libwagon-ftp-java(Artifact transport abstraction used in Maven (FTP provider))+libwagon-http-java(Artifact transport abstraction used in Maven (HTTP providers))+libwagon-http-shaded-java(Artifact transport abstraction used in Maven (HTTP providers with dependencies))+libwagon-java(Artifact transport abstraction used in Maven (transitional package))+libwagon-provider-api-java(Artifact transport abstraction used in Maven (Provider API))+libwagon-ssh-java(Artifact transport abstraction used in Maven (SSH providers))
205488	lua-penlight	lua-penlight(Collection of general purpose libraries for the Lua language)+lua-penlight-dev(Collection of general purpose libraries for the Lua language)
210707	libcommons-validator-java	libcommons-validator-java(ease and speed development and maintenance of validation rules)+libcommons-validator-java-doc(API documentation for Commons Validator)
212190	python-py	pypy-py(Advanced Python development support library (PyPy))+python-py(Advanced Python development support library (Python 2))+python3-py(Advanced Python development support library (Python 3))
215717	libjsoncpp	libjsoncpp-dev(library for reading and writing JSON for C++ (devel files))+libjsoncpp-doc(API documentation for libjsoncpp-dev)+libjsoncpp1(library for reading and writing JSON for C++)
241524	libxbean-java	libxbean-java(plugin based Java application server)+libxbean-java-doc(API documentation for XBean)+libxbean-reflect-java(plugin based Java application server (xbean-reflect))
260326	php-zeta-base	php-zeta-base(Zeta Components - Base package)
261678	ruby-rack	ruby-rack(modular Ruby webserver interface)
265229	libnet-dns-perl	libnet-dns-perl(Perform DNS queries from a Perl script)
265690	commons-io	libcommons-io-java(Common useful IO related classes)+libcommons-io-java-doc(Common useful IO related classes - documentation)
271431	jinja2	python-jinja2(small but fast and easy to use stand-alone template engine)+python-jinja2-doc(documentation for the Jinja2 Python library)+python3-jinja2(small but fast and easy to use stand-alone template engine)
274961	snakeyaml	libyaml-snake-java(YAML parser and emitter for the Java programming language)+libyaml-snake-java-doc(Documentation for SnakeYAML)
278265	libcommons-codec-java	libcommons-codec-java(encoder and decoders such as Base64 and hexadecimal codec)+libcommons-codec-java-doc(encoder and decoders such as Base64 and hexadecimal codec - documentation)
280555	commons-beanutils	libcommons-beanutils-java(Apache Commons BeanUtils - Utility for manipulating Java beans)+libcommons-beanutils-java-doc(Apache Commons BeanUtils - Documentation)
282301	php-codecoverage	php-codecoverage(collection, processing, and rendering for code coverage)
283689	doxia-sitetools	libdoxia-sitetools-java(Extension package of the content generation framework Doxia)+libdoxia-sitetools-java-doc(Documentation for Doxia Sitetools)
287127	subunit	libcppunit-subunit-dev(SubunitTestProgressListener for CPPUnit - Development headers)+libcppunit-subunit0(SubunitTestProgressListener for CPPUnit - C++ shared library)+libsubunit-dev(Unit testing protocol - Development headers and static library for libsubunit)+libsubunit-perl(perl parser and diff for Subunit streams)+libsubunit0(Unit testing protocol - C/C++ shared library)+python-subunit(unit testing protocol - Python bindings to generate and consume streams)+python3-subunit(unit testing protocol - Python3 bindings to generate and consume streams)+subunit(command line tools for processing Subunit streams)
288225	bsdmainutils	bsdmainutils(collection of more utilities from FreeBSD)
296232	python-markdown	python-markdown(text-to-HTML conversion library/tool (Python 2 version))+python-markdown-doc(text-to-HTML conversion library/tool (documentation))+python3-markdown(text-to-HTML conversion library/tool (Python 3 version))
