Size	Source	Binary Packages
651471	node-babel	node-babel-cli(Babel command line)+node-babel-code-frame(generate errors that contain a code frame that point to source locations)+node-babel-core(Babel compiler core.)+node-babel-generator(Turns an AST into code.)+node-babel-helper-bindify-decorators(Helper function to bindify decorators)+node-babel-helper-builder-binary-assignment-operator-visitor(Helper function to build binary assignment operator visitors)+node-babel-helper-builder-react-jsx(Helper function to build react jsx)+node-babel-helper-call-delegate(Helper function to call delegate)+node-babel-helper-define-map(Helper function to define a map)+node-babel-helper-explode-assignable-expression(Helper function to explode assignable expressions)+node-babel-helper-explode-class(Helper function to explode classes)+node-babel-helper-function-name(Helper function to change the property 'name' of every function)+node-babel-helper-get-function-arity(Helper function to get function arity)+node-babel-helper-hoist-variables(Helper function to hoist variables)+node-babel-helper-optimise-call-expression(Helper function to optimise call expression)+node-babel-helper-regex(Helper function to check for literal RegEx)+node-babel-helper-remap-async-to-generator(Helper function to remap async functions to generators)+node-babel-helper-replace-supers(Helper function to replace supers)+node-babel-helpers(Collection of helper functions used by Babel transforms)+node-babel-messages(Collection of debug messages used by Babel.)+node-babel-plugin-external-helpers(helper functions that??ll be placed at the top of the generated code)+node-babel-plugin-syntax-async-functions(Allow parsing of async functions)+node-babel-plugin-syntax-async-generators(Allow parsing of async generators)+node-babel-plugin-syntax-class-constructor-call(Allow parsing of class constructor calls)+node-babel-plugin-syntax-class-properties(Allow parsing of class properties)+node-babel-plugin-syntax-decorators(Allow parsing of decorators)+node-babel-plugin-syntax-do-expressions(Allow parsing of do expressinos)+node-babel-plugin-syntax-dynamic-import(Allow parsing of import)+node-babel-plugin-syntax-exponentiation-operator(Allow parsing of the exponentiation operator)+node-babel-plugin-syntax-export-extensions(Allow parsing of export extensions)+node-babel-plugin-syntax-flow(Allow parsing of the flow syntax)+node-babel-plugin-syntax-function-bind(Allow parsing of function bind)+node-babel-plugin-syntax-jsx(Allow parsing of jsx)+node-babel-plugin-syntax-object-rest-spread(Allow parsing of object rest/spread)+node-babel-plugin-syntax-trailing-function-commas(Compile trailing function commas to ES5)+node-babel-plugin-transform-async-generator-functions(Convert async generator functions to ES2015 generators)+node-babel-plugin-transform-async-to-generator(Turn async functions into ES2015 generators)+node-babel-plugin-transform-class-constructor-call(Enable new.target in ES2015 classes)+node-babel-plugin-transform-class-properties(Compile additional export-from statements to ES2015)+node-babel-plugin-transform-decorators(Compile class and object decorators to ES5)+node-babel-plugin-transform-do-expressions(Compile do expressions to ES5)+node-babel-plugin-transform-es3-member-expression-literals(Ensure that reserved words are quoted in property accesses)+node-babel-plugin-transform-es3-property-literals(Ensure that reserved words are quoted in object property keys)+node-babel-plugin-transform-exponentiation-operator(Compile the exponentiation operator to ES5)+node-babel-plugin-transform-export-extensions(Compile ES2015/ES2016 class properties to ES5)+node-babel-plugin-transform-flow-strip-types(Strip flow type annotations from your output code)+node-babel-plugin-transform-function-bind(Compile the functino bind operator to ES5)+node-babel-plugin-transform-jscript(fix buggy JScript named function expressions)+node-babel-plugin-transform-object-rest-spread(Compile object rest and spread to ES5)+node-babel-plugin-transform-proto-to-assign(Babel plugin for turning __proto__ into a shallow property clone)+node-babel-plugin-transform-react-display-name(Add displayName to React.createClass calls)+node-babel-plugin-transform-react-jsx(Turn JSX into React function calls)+node-babel-plugin-transform-react-jsx-self(Add a __self prop to all JSX Elements)+node-babel-plugin-transform-react-jsx-source(Add a __source prop to all JSX Elements)+node-babel-plugin-transform-regenerator(Explode async and generator functions into a state machine)+node-babel-plugin-transform-runtime(Externalise references to helpers and builtins)+node-babel-plugin-transform-strict-mode(Enable strict mode for all files)+node-babel-polyfill(Provides polyfills necessary for a full ES2015+ environment)+node-babel-preset-es2015(Babel preset for all es2015 plugins)+node-babel-preset-es2016(Babel preset for all es2016 plugins)+node-babel-preset-es2017(Babel preset for all es2017 plugins)+node-babel-preset-flow(Babel preset for all Flow plugins)+node-babel-preset-latest(Babel preset including es2015+)+node-babel-preset-react(Babel preset for all React plugins)+node-babel-preset-stage-0(Babel preset for stage 0 plugins)+node-babel-preset-stage-1(Babel preset for stage 1 plugins)+node-babel-preset-stage-2(Babel preset for stage 2 plugins)+node-babel-preset-stage-3(Babel preset for stage 3 plugins)+node-babel-register(babel require hook)+node-babel-runtime(babel selfContained runtime)+node-babel-template(Generate an AST from a string template.)+node-babel-traverse(Babel Traverse module)+node-babel-types(lodash-esque utility library for AST nodes)
745582	leiningen-clojure	leiningen(Automation tool and dependency manager for Clojure projects)
800315	jflex	jflex(lexical analyzer generator for Java)
895041	libtwelvemonkeys-java	libtwelvemonkeys-java(collection of plugins and extensions for Java's ImageIO)+libtwelvemonkeys-java-doc(Documentation for libtwelvemonkeys-java)
912162	libtritonus-java	libtritonus-java(implementation of the Java Sound API)+libtritonus-jni(implementation of the Java Sound API (jni shared libraries))
1024663	libtool	libltdl-dev(System independent dlopen wrapper for GNU libtool)+libltdl7(System independent dlopen wrapper for GNU libtool)+libtool(Generic library support script)+libtool-bin(Generic library support script (libtool binary))+libtool-doc(Generic library support script)
1024863	picolisp	picolisp(Lisp interpreter and application server framework)
1256075	eclipse-platform-text	libeclipse-core-filebuffers-java(Eclipse File Buffers)+libeclipse-jface-text-java(Eclipse JFace Text)+libeclipse-search-java(Eclipse Search Support)+libeclipse-text-java(Eclipse Text)+libeclipse-ui-editors-java(Eclipse Default Text Editor)+libeclipse-ui-genericeditor-java(EEclipse Generic and Extensible Text Editor)+libeclipse-ui-workbench-texteditor-java(Eclipse Text Editor Framework)
2457853	xmlbeans	libxmlbeans-java(Java library for accessing XML by binding it to Java types)+xmlbeans(Java library for accessing XML by binding it to Java types - tools)
3441739	libhibernate3-java	libhibernate3-java(Relational Persistence for Idiomatic Java)
4893648	scala	scala(Scala programming language)+scala-doc(Scala API documentation)+scala-library(Scala standard library)
5501083	aspectj	aspectj(aspect-oriented extension for Java - tools)+aspectj-doc(aspect-oriented extension for Java - documentation)+libaspectj-java(aspect-oriented extension for Java - library)+libaspectj-java-doc(aspect-oriented extension for Java - API documentation)
5957881	eclipse-platform-ui	libeclipse-core-commands-java(Eclipse Commands)+libeclipse-core-databinding-beans-java(Eclipse JFace Data Binding for JavaBeans)+libeclipse-core-databinding-java(Eclipse JFace Data Binding)+libeclipse-core-databinding-observable-java(Eclipse JFace Data Binding Observables)+libeclipse-core-databinding-property-java(Eclipse JFace Data Binding Properties)+libeclipse-e4-core-commands-java(Eclipse e4 core commands)+libeclipse-e4-emf-xpath-java(Eclipse EMF XPath)+libeclipse-e4-ui-bindings-java(Eclipse Bindings Support)+libeclipse-e4-ui-css-core-java(Eclipse CSS Core Support)+libeclipse-e4-ui-css-swt-java(Eclipse CSS SWT Support)+libeclipse-e4-ui-css-swt-theme-java(Eclipse CSS SWT Theme Support)+libeclipse-e4-ui-di-java(Eclipse UI Dependency Injection)+libeclipse-e4-ui-dialogs-java(Eclipse e4 dialogs)+libeclipse-e4-ui-model-workbench-java(Eclipse Workbench Model)+libeclipse-e4-ui-progress-java(Eclipse e4 Progress View)+libeclipse-e4-ui-services-java(Eclipse UI Application Services)+libeclipse-e4-ui-swt-gtk-java(Eclipse UI GTK Enhancements)+libeclipse-e4-ui-widgets-java(Eclipse UI Custom widgets)+libeclipse-e4-ui-workbench-addons-swt-java(Eclipse e4 Workbench Add-ons)+libeclipse-e4-ui-workbench-java(Eclipse e4 Workbench)+libeclipse-e4-ui-workbench-renderers-swt-java(Eclipse e4 Workbench SWT Renderer)+libeclipse-e4-ui-workbench-swt-java(Eclipse e4 Workbench SWT)+libeclipse-e4-ui-workbench3-java(Bundle for Workbench APIs available in e4)+libeclipse-jface-databinding-java(Eclipse JFace Data Binding for SWT and JFace)+libeclipse-jface-java(Eclipse JFace)+libeclipse-ui-browser-java(Eclipse Browser Support)+libeclipse-ui-forms-java(Eclipse UI forms)+libeclipse-ui-ide-application-java(Eclipse IDE UI Application)+libeclipse-ui-ide-java(Eclipse IDE UI)+libeclipse-ui-java(Eclipse UI)+libeclipse-ui-monitoring-java(Eclipse UI Responsiveness Monitoring)+libeclipse-ui-navigator-java(Eclipse Common Navigator View)+libeclipse-ui-views-java(Eclipse Views)+libeclipse-ui-views-properties-tabbed-java(Eclipse Tabbed Properties View)+libeclipse-ui-workbench-java(Eclipse Workbench)+libeclipse-urischeme-java(Eclipse URI Scheme Handling)
6301148	sbcl	sbcl(Common Lisp compiler and development system)+sbcl-doc(Documentation for Steel Bank Common Lisp)+sbcl-source(Source code files for SBCL)
6375427	gradle	gradle(Powerful build system for the JVM)+gradle-doc(Powerful build system for the JVM - Documentations)+libgradle-core-java(Powerful build system for the JVM - Core libraries)+libgradle-plugins-java(Powerful build system for the JVM - All plugins)
