Size	Source	Binary Packages
1461397	diffutils	diffutils(File comparison utilities)+diffutils-doc(Documentation for GNU diffutils in HTML format)
1512785	argon2	argon2(memory-hard hashing function - utility)+libargon2-0(memory-hard hashing function - runtime library)+libargon2-1(memory-hard hashing function - runtime library)+libargon2-dev(memory-hard hashing function - development files)
1579374	grep	grep(GNU grep, egrep and fgrep)
1589398	pcre3	libpcre16-3(Old Perl 5 Compatible Regular Expression Library - 16 bit runtime files)+libpcre3(Old Perl 5 Compatible Regular Expression Library - runtime files)+libpcre3-dbg(Old Perl 5 Compatible Regular Expression Library - debug symbols)+libpcre3-dev(Old Perl 5 Compatible Regular Expression Library - development files)+libpcre32-3(Old Perl 5 Compatible Regular Expression Library - 32 bit runtime files)+libpcrecpp0v5(Old Perl 5 Compatible Regular Expression Library - C++ runtime files)+pcregrep(grep utility that uses perl 5 compatible regexes.)
1809803	shadow	login(system login tools)+passwd(change and administer password and group data)+uidmap(programs to help use subuids)
1827963	gmp	libgmp-dev(Multiprecision arithmetic library developers tools)+libgmp10(Multiprecision arithmetic library)+libgmp10-doc(Multiprecision arithmetic library example code)+libgmp3-dev(Multiprecision arithmetic library developers tools)+libgmpxx4ldbl(Multiprecision arithmetic library (C++ bindings))
1907339	tar	tar(GNU version of the tar archiving utility)+tar-scripts(optional scripts for GNU version of the tar archiving utility)
1921849	findutils	findutils(utilities for finding files--find, xargs)+locate(maintain and query an index of a directory tree)
1958435	libtasn1-6	libtasn1-6(Manage ASN.1 structures (runtime))+libtasn1-6-dev(Manage ASN.1 structures (development))+libtasn1-bin(Manage ASN.1 structures (binaries))+libtasn1-doc(Manage ASN.1 structures (documentation))
1971775	nettle	libhogweed4(low level cryptographic library (public-key cryptos))+libnettle6(low level cryptographic library (symmetric and one-way cryptos))+nettle-bin(low level cryptographic library (binary tools))+nettle-dev(low level cryptographic library (development files))
2095164	libunistring	libunistring-dev(Unicode string library for C - development files)+libunistring2(Unicode string library for C)
2194502	apt	apt(commandline package manager)+apt-doc(documentation for APT)+apt-transport-https(transitional package for https support)+apt-utils(package management related utility programs)+libapt-inst2.0(deb package format runtime library)+libapt-pkg-dev(development files for APT's libapt-pkg and libapt-inst)+libapt-pkg-doc(documentation for APT development)+libapt-pkg5.0(package management runtime library)
2396046	lvm2	dmeventd(Linux Kernel Device Mapper event daemon)+dmsetup(Linux Kernel Device Mapper userspace library)+libdevmapper-dev(Linux Kernel Device Mapper header files)+libdevmapper-event1.02.1(Linux Kernel Device Mapper event support library)+libdevmapper1.02.1(Linux Kernel Device Mapper userspace library)+liblvm2-dev(LVM2 libraries - development files)+liblvm2cmd2.03(LVM2 command library)+lvm2(Linux Logical Volume Manager)+lvm2-dbusd(LVM2 D-Bus daemon)+lvm2-lockd(LVM locking daemon)
3022820	libgcrypt20	libgcrypt-mingw-w64-dev(LGPL Crypto library - Windows development)+libgcrypt20(LGPL Crypto library - runtime library)+libgcrypt20-dev(LGPL Crypto library - development files)+libgcrypt20-doc(LGPL Crypto library - documentation)
3475798	ncurses	lib32ncurses-dev(developer's libraries for ncurses (32-bit))+lib32ncurses6(shared libraries for terminal handling (32-bit))+lib32ncursesw6(shared libraries for terminal handling (wide character support) (32-bit))+lib32tinfo6(shared low-level terminfo library for terminal handling (32-bit))+libncurses-dev(developer's libraries for ncurses)+libncurses5(shared libraries for terminal handling (legacy version))+libncurses5-dev(transitional package for libncurses-dev)+libncurses6(shared libraries for terminal handling)+libncurses6-dbg(debugging/profiling libraries for ncurses)+libncursesw5(shared libraries for terminal handling (wide character legacy version))+libncursesw5-dev(transitional package for libncurses-dev)+libncursesw6(shared libraries for terminal handling (wide character support))+libncursesw6-dbg(debugging/profiling libraries for ncursesw)+libtinfo-dev(transitional package for libncurses-dev)+libtinfo5(shared low-level terminfo library (legacy version))+libtinfo6(shared low-level terminfo library for terminal handling)+libtinfo6-dbg(debugging/profiling library for the low-level terminfo library)+ncurses-base(basic terminal type definitions)+ncurses-bin(terminal-related programs and man pages)+ncurses-doc(developer's guide and documentation for ncurses)+ncurses-examples(test programs and examples for ncurses)+ncurses-term(additional terminal type definitions)
3568728	libidn	idn(Command line and Emacs interface to GNU Libidn)+libidn11(GNU Libidn library, implementation of IETF IDN specifications)+libidn11-dev(Development files for GNU Libidn, an IDN library)+libidn11-java(Java port of the GNU Libidn library, an IDN implementation)
4701199	dpkg	dpkg(Debian package management system)+dpkg-dev(Debian package development tools)+dselect(Debian package management front-end)+libdpkg-dev(Debian package management static library)+libdpkg-perl(Dpkg perl modules)
